product_id,product_name,category,price,cost,stock_quantity,reorder_level
449,Public-key homogeneous functionalities,Clothing,191.87,106.84,271,8
450,Self-enabling transitional task-force,Sports,123.30,86.12,38,6
451,Pre-emptive needs-based alliance,Books,125.60,92.60,394,78
452,Secured asymmetric encoding,Electronics,64.72,48.08,264,48
453,Self-enabling systemic forecast,Automotive,204.57,157.03,434,15
454,Focused value-added array,Health,78.83,65.97,479,96
455,Optional bandwidth-monitored task-force,Automotive,51.28,27.44,326,72
456,Sharable tertiary attitude,Clothing,184.28,76.13,119,10
457,Organic composite solution,Electronics,168.51,141.63,240,48
458,Innovative 4thgeneration analyzer,Sports,321.70,156.16,448,50
459,Inverse analyzing frame,Health,93.64,43.09,459,109
460,Multi-channeled holistic Internet solution,Electronics,211.02,90.10,82,8
461,Digitized dynamic moderator,Toys,236.72,152.33,128,23
462,Open-source non-volatile software,Toys,88.59,51.86,405,97
463,Enterprise-wide composite conglomeration,Electronics,252.61,110.37,256,57
464,Configurable reciprocal implementation,Home & Garden,180.10,126.01,499,19
465,Secured systemic encoding,Health,205.05,87.23,309,12
466,Proactive optimal circuit,Office,223.90,132.04,471,54
467,Focused maximized productivity,Toys,152.50,71.63,28,7
468,Function-based logistical extranet,Beauty,112.57,83.87,167,26
469,Synchronized 24/7 website,Beauty,101.85,43.34,44,10
470,Persistent executive service-desk,Electronics,189.01,125.12,291,69
471,Quality-focused cohesive archive,Beauty,155.95,82.46,48,8
472,Organic grid-enabled parallelism,Automotive,452.45,195.50,248,56
473,Innovative scalable interface,Home & Garden,229.13,100.48,410,50
474,Team-oriented eco-centric knowledgebase,Health,256.04,167.20,3,5
475,Innovative dedicated info-mediaries,Sports,374.26,154.50,443,41
476,Polarized bi-directional encoding,Beauty,241.18,123.67,455,24
477,Multi-tiered object-oriented help-desk,Automotive,129.61,58.15,340,59
478,Re-engineered explicit standardization,Home & Garden,230.24,135.23,356,65
479,Implemented 3rdgeneration protocol,Health,108.84,66.83,388,62
480,Object-based even-keeled access,Toys,11.22,6.13,283,19
481,Re-contextualized systemic time-frame,Automotive,187.12,80.66,4,5
482,User-friendly actuating portal,Office,97.02,81.16,263,13
483,User-friendly modular forecast,Clothing,259.25,104.36,189,46
484,Vision-oriented discrete portal,Health,314.41,154.51,206,22
485,Multi-channeled directional productivity,Beauty,271.85,121.42,426,79
486,Ergonomic regional extranet,Toys,122.33,50.20,497,72
487,Synergistic web-enabled success,Automotive,258.51,129.57,466,65
488,Visionary stable software,Office,354.12,192.41,481,87
489,Devolved responsive attitude,Home & Garden,68.32,42.19,301,60
490,Self-enabling secondary analyzer,Electronics,262.47,158.98,198,8
491,Integrated zero tolerance intranet,Beauty,204.84,174.71,181,37
492,Automated optimal hierarchy,Clothing,111.93,63.36,331,18
493,Upgradable clear-thinking array,Home & Garden,53.32,40.86,244,26
494,Implemented fresh-thinking synergy,Sports,248.07,104.79,59,10
495,Operative context-sensitive customer loyalty,Health,211.59,139.76,31,5
496,De-engineered zero tolerance moratorium,Health,153.55,120.05,31,6
497,Multi-lateral multi-tasking middleware,Clothing,190.10,146.52,392,10
498,Future-proofed composite extranet,Office,196.28,95.66,341,26
499,Polarized explicit synergy,Office,73.17,43.53,81,15
500,Mandatory bifurcated Local Area Network,Health,142.25,63.37,16,5
